source_failure_flight,source_f1,first_anomaly_t,guard_band_sec,segment_end_t,rows_kept,output_file,skipped_reason
carbonZ_2018-09-11-17-27-13_1_rudder_zero__left_aileron_failure,0.0,96.32146406173706,5.0,91.32146406173706,36727,carbonZ_2018-09-11-17-27-13_1_rudder_zero__left_aileron_failure__prefail_normal.csv,
carbonZ_2018-09-11-17-55-30_1_right_aileron_failure,0.0,91.9593997001648,5.0,86.9593997001648,35136,carbonZ_2018-09-11-17-55-30_1_right_aileron_failure__prefail_normal.csv,
carbonZ_2018-09-11-17-55-30_2_left_aileron_failure,0.0,29.992964029312127,5.0,24.992964029312127,9977,carbonZ_2018-09-11-17-55-30_2_left_aileron_failure__prefail_normal.csv,
carbonZ_2018-09-11-15-05-11_1_elevator_failure,0.13903743315508021,43.47566485404968,5.0,38.47566485404968,15356,carbonZ_2018-09-11-15-05-11_1_elevator_failure__prefail_normal.csv,
carbonZ_2018-09-11-14-52-54_left_aileron__right_aileron__failure,0.14349276974416017,85.25137686729433,5.0,80.25137686729433,31722,carbonZ_2018-09-11-14-52-54_left_aileron__right_aileron__failure__prefail_normal.csv,
carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,0.16143497757847533,35.53242897987366,5.0,30.532428979873657,12206,carbonZ_2018-09-11-15-06-34_1_rudder_right_failure__prefail_normal.csv,
carbonZ_2018-10-05-14-37-22_3_left_aileron_failure,0.2382022471910112,52.40108323097229,5.0,47.40108323097229,18904,carbonZ_2018-10-05-14-37-22_3_left_aileron_failure__prefail_normal.csv,
carbonZ_2018-10-05-14-37-22_2_right_aileron_failure,0.336734693877551,53.392035245895386,5.0,48.392035245895386,19409,carbonZ_2018-10-05-14-37-22_2_right_aileron_failure__prefail_normal.csv,
carbonZ_2018-09-11-15-06-34_3_rudder_left_failure,0.3394255874673629,40.11538982391357,5.0,35.11538982391357,8913,carbonZ_2018-09-11-15-06-34_3_rudder_left_failure__prefail_normal.csv,
carbonZ_2018-10-05-14-34-20_2_right_aileron_failure_with_emr_traj,0.3476070528967255,132.23058891296387,5.0,127.23058891296387,50642,carbonZ_2018-10-05-14-34-20_2_right_aileron_failure_with_emr_traj__prefail_normal.csv,
carbonZ_2018-09-11-17-27-13_2_both_ailerons_failure,0.354014598540146,45.81919765472412,5.0,40.81919765472412,16396,carbonZ_2018-09-11-17-27-13_2_both_ailerons_failure__prefail_normal.csv,
carbonZ_2018-10-18-11-04-00_engine_failure_with_emr_traj,0.39277652370203164,91.17597270011902,5.0,86.17597270011902,34459,carbonZ_2018-10-18-11-04-00_engine_failure_with_emr_traj__prefail_normal.csv,
carbonZ_2018-10-18-11-04-35_engine_failure_with_emr_traj,0.44270833333333337,81.30208659172058,5.0,76.30208659172058,30568,carbonZ_2018-10-18-11-04-35_engine_failure_with_emr_traj__prefail_normal.csv,
carbonZ_2018-10-05-15-55-10_engine_failure_with_emr_traj,0.4591611479028697,80.14725375175476,5.0,75.14725375175476,30100,carbonZ_2018-10-05-15-55-10_engine_failure_with_emr_traj__prefail_normal.csv,
carbonZ_2018-10-18-11-03-57_engine_failure_with_emr_traj,0.4869281045751634,84.2458562850952,5.0,79.2458562850952,31631,carbonZ_2018-10-18-11-03-57_engine_failure_with_emr_traj__prefail_normal.csv,
carbonZ_2018-09-11-15-06-34_2_rudder_right_failure,0.4890829694323144,31.97364902496338,5.0,26.97364902496338,10745,carbonZ_2018-09-11-15-06-34_2_rudder_right_failure__prefail_normal.csv,
carbonZ_2018-07-18-15-53-31_1_engine_failure,0.4925373134328358,96.30845499038696,5.0,91.30845499038696,36204,carbonZ_2018-07-18-15-53-31_1_engine_failure__prefail_normal.csv,
carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,0.5402124430955995,80.37521886825562,5.0,75.37521886825562,30106,carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj__prefail_normal.csv,
carbonZ_2018-07-30-17-20-01_engine_failure_with_emr_traj,0.5470459518599562,67.69877338409424,5.0,62.69877338409424,24827,carbonZ_2018-07-30-17-20-01_engine_failure_with_emr_traj__prefail_normal.csv,
carbonZ_2018-07-30-17-10-45_engine_failure_with_emr_traj,0.5471698113207546,97.20067048072816,5.0,92.20067048072816,36617,carbonZ_2018-07-30-17-10-45_engine_failure_with_emr_traj__prefail_normal.csv,
