flight,num_windows,label_run_count,tp,fp,tn,fn,precision,recall,f1,first_anomaly_t
carbonZ_2018-09-11-17-27-13_1_rudder_zero__left_aileron_failure,1549,1,0,3,1204,342,0.0,0.0,0.0,96.32146406173706
carbonZ_2018-09-11-17-55-30_1_right_aileron_failure,1424,1,0,112,1044,268,0.0,0.0,0.0,91.9593997001648
carbonZ_2018-09-11-17-55-30_2_left_aileron_failure,768,1,0,2,368,398,0.0,0.0,0.0,29.992964029312127
carbonZ_2018-09-11-15-05-11_1_elevator_failure,697,1,13,16,523,145,0.4482758620689655,0.08227848101265822,0.13903743315508021,43.47566485404968
carbonZ_2018-09-11-14-52-54_left_aileron__right_aileron__failure,2643,1,129,75,974,1465,0.6323529411764706,0.0809284818067754,0.14349276974416017,85.25137686729433
carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,625,1,18,20,420,167,0.47368421052631576,0.0972972972972973,0.16143497757847533,35.53242897987366
carbonZ_2018-10-05-14-37-22_3_left_aileron_failure,950,1,53,92,558,247,0.36551724137931035,0.17666666666666667,0.2382022471910112,52.40108323097229
carbonZ_2018-10-05-14-37-22_2_right_aileron_failure,1566,1,198,77,588,703,0.72,0.21975582685904552,0.336734693877551,53.392035245895386
carbonZ_2018-09-11-15-06-34_3_rudder_left_failure,387,1,65,245,69,8,0.20967741935483872,0.8904109589041096,0.3394255874673629,40.11538982391357
carbonZ_2018-10-05-14-34-20_2_right_aileron_failure_with_emr_traj,1764,1,69,205,1436,54,0.2518248175182482,0.5609756097560976,0.3476070528967255,132.23058891296387
carbonZ_2018-09-11-17-27-13_2_both_ailerons_failure,1023,1,97,0,572,354,1.0,0.21507760532150777,0.354014598540146,45.81919765472412
carbonZ_2018-10-18-11-04-00_engine_failure_with_emr_traj,1279,1,87,213,923,56,0.29,0.6083916083916084,0.39277652370203164,91.17597270011902
carbonZ_2018-10-18-11-04-35_engine_failure_with_emr_traj,1110,1,85,202,811,12,0.2961672473867596,0.8762886597938144,0.44270833333333337,81.30208659172058
carbonZ_2018-10-05-15-55-10_engine_failure_with_emr_traj,1161,1,104,187,812,58,0.35738831615120276,0.6419753086419753,0.4591611479028697,80.14725375175476
carbonZ_2018-10-18-11-03-57_engine_failure_with_emr_traj,1197,1,149,313,734,1,0.3225108225108225,0.9933333333333333,0.4869281045751634,84.2458562850952
carbonZ_2018-09-11-15-06-34_2_rudder_right_failure,564,1,56,2,391,115,0.9655172413793104,0.32748538011695905,0.4890829694323144,31.97364902496338
carbonZ_2018-07-18-15-53-31_1_engine_failure,1391,1,66,0,1189,136,1.0,0.32673267326732675,0.4925373134328358,96.30845499038696
carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,1177,1,178,303,696,0,0.3700623700623701,1.0,0.5402124430955995,80.37521886825562
carbonZ_2018-07-30-17-20-01_engine_failure_with_emr_traj,1067,1,125,99,735,108,0.5580357142857143,0.5364806866952789,0.5470459518599562,67.69877338409424
carbonZ_2018-07-30-17-10-45_engine_failure_with_emr_traj,1400,1,116,110,1092,82,0.5132743362831859,0.5858585858585859,0.5471698113207546,97.20067048072816
