name,is_fault,fault_mode,fault_start,raw_fault_start_before_trim_sec,seed,file
normal_01,0,none,,,202601,normal_01.csv
normal_02,0,none,,,202602,normal_02.csv
normal_03,0,none,,,202603,normal_03.csv
normal_04,0,none,,,202604,normal_04.csv
normal_05,0,none,,,202605,normal_05.csv
normal_06,0,none,,,202606,normal_06.csv
normal_07,0,none,,,202607,normal_07.csv
normal_08,0,none,,,202608,normal_08.csv
normal_09,0,none,,,202609,normal_09.csv
normal_10,0,none,,,202610,normal_10.csv
abnormal_jam,1,jam,6.505000000000001,8.505,,abnormal_jam.csv
abnormal_wear,1,wear,9.549,11.549,,abnormal_wear.csv
