Time,u_cmd,position,velocity,accel,torque,current,voltage,fault_flag,fault_strength
0秒,-10.7473841880098,0.0853725722617624,-0.0489848868230948,-0.0481571628211655,0.0440524292461065,-0.0179413257400198,0.0177197097477453,0,0
0.001秒,-10.7469596460135,0.100126704411136,0.0358238778367152,-0.124870969441781,0.0217592680662383,-0.061201085548776,-0.116234572004658,0,0
0.002秒,-10.7465462331461,0.104830572833307,-0.029768121495886,-500,-10,-20,-50,0,0
0.003秒,-10.7461440713382,0.1087121058111,-3.36408319304516,-500,-10,-20,-50,0,0
0.004秒,-10.7457532812397,0.0709343403388126,-9.74570790494553,-500,-10,-20,-50,0,0
0.005秒,-10.7453739822147,0.0847377186010656,-16.0816771632897,-500,-10,-20,-50,0,0
0.006秒,-10.7450062923351,0.0340350545277826,-22.0645258342189,-500,-10,-20,-50,0,0
0.007秒,-10.744650328376,0.041470811608086,-27.7456574729225,-500,-10,-20,-50,0,0
0.008秒,-10.7443062058096,-0.010026802185283,-33.2416782843967,-500,-10,-20,-50,0,0
0.009秒,-10.7439740387999,-0.0538518616270086,-38.4990872589776,-500,-10,-20,-50,0,0
0.01秒,-10.7436539401976,-0.121808084581608,-43.6147470547822,-500,-10,-20,-50,0,0
0.011秒,-10.7433460215347,-0.138014661390769,-48.5593524499188,-500,-10,-20,-50,0,0
0.012秒,-10.7430503930192,-0.194257549218333,-53.1977441220135,-500,-10,-20,-50,0,0
0.013秒,-10.7427671635302,-0.236739452505589,-57.5762802240129,-500,-10,-20,-50,0,0
0.014秒,-10.7424964406122,-0.2927439868244,-61.9095137493373,-500,-10,-20,-50,0,0
0.015秒,-10.742238330471,-0.408148001022163,-65.944493391413,-500,-10,-20,-50,0,0
0.016秒,-10.7419929379676,-0.455781146875105,-69.6980185499804,-500,-10,-20,-50,0,0
0.017秒,-10.7417603666144,-0.496275443291194,-73.422609818317,-500,-10,-20,-50,0,0
0.018秒,-10.7415407185695,-0.630817872370589,-77.0185314194712,-500,-10,-20,-50,0,0
0.019秒,-10.7413340946321,-0.672747720458845,-80.215418197084,-500,-10,-20,-50,0,0
0.02秒,-10.7411405942381,-0.770231708278263,-83.4291299359642,-500,-10,-20,-50,0,0
0.021秒,-10.7409603154549,-0.818799796644584,-86.4305035150899,-500,-10,-20,-50,0,0
0.022秒,-10.7407933549771,-0.946356548684313,-89.2662593198095,-500,-10,-20,-50,0,0
0.023秒,-10.740639808122,-1.04887095054497,-91.9077417009897,-500,-10,-20,-50,0,0
0.024秒,-10.7404997688248,-1.12429158687084,-94.4382030725786,-500,-10,-20,-50,0,0
0.025秒,-10.7403733296344,-1.22359531122285,-96.8791302653647,-500,-10,-20,-50,0,0
0.026秒,-10.7402605817088,-1.32707925057778,-98.9970232978601,-500,-10,-20,-50,0,0
0.027秒,-10.740161614811,-1.45707945823184,-100,-500,-10,-20,-50,0,0
0.028秒,-10.7400765173047,-1.51521263880991,-100,-500,-10,-20,-47.4322074319517,0,0
0.029秒,-10.7400053761501,-1.62254052518031,-100,-500,-10,-20,-34.5360020428458,0,0
0.03秒,-10.7399482768994,-1.73686725716159,-100,-500,-10,-20,-22.2624868228397,0,0
0.031秒,-10.7399053036935,-1.85771573718462,-100,-500,-10,-20,-10.3785462055711,0,0
0.032秒,-10.7398765392571,-1.91669859745869,-100,-500,-10,-20,0.996474315504678,0,0
0.033秒,-10.7398620648956,-2.02897504103706,-100,-500,-10,-20,12.1302812560714,0,0
0.034秒,-10.7398619604905,-2.17995837324452,-100,-500,-10,-20,22.6197209547898,0,0
0.035秒,-10.739876304496,-2.30453369270477,-100,-500,-10,-20,32.6030063786754,0,0
0.036秒,-10.7399051739351,-2.4019581727717,-100,-500,-10,-20,42.2562376430746,0,0
0.037秒,-10.7399486443958,-2.51325819211748,-100,-500,-10,-20,50,0,0
0.038秒,-10.7400067900279,-2.60326401863325,-100,-500,-10,-20,50,0,0
0.039秒,-10.7400796835389,-2.75710567149062,-100,-500,-10,-20,50,0,0
0.04秒,-10.7401673961906,-2.87635448220831,-100,-468.1399230491,-10,-20,50,0,0
0.041秒,-10.740269997796,-3.00361566799215,-100,-379.052558557783,-10,-20,50,0,0
0.042秒,-10.7403875567156,-3.10630776391546,-100,-293.045892749523,-10,-20,50,0,0
0.043秒,-10.7405201398542,-3.2314542411184,-100,-210.065928277119,-10,-20,50,0,0
0.044秒,-10.7406678126575,-3.36687356282609,-100,-129.904157738964,-10,-20,50,0,0
0.045秒,-10.7408306391092,-3.47785213899115,-100,-52.6702816412973,-10,-20,50,0,0
0.046秒,-10.7410086817276,-3.58938205388553,-100,21.6012149930823,-10,-20,50,0,0
0.047秒,-10.7412020015628,-3.70047510335321,-100,93.4032712308951,-9.54266069495772,-20,50,0,0
0.048秒,-10.7414106581933,-3.81056813036565,-100,162.181304493057,-8.21196992643296,-20,50,0,0
0.049秒,-10.7416347097237,-3.9235418775789,-100,228.468164520805,-6.9262811002331,-20,50,0,0
0.05秒,-10.7418742127811,-4.05809738173865,-100,292.302552413615,-5.66579195641213,-20,50,0,0
0.051秒,-10.7421292225129,-4.16939012694246,-100,353.561408724466,-4.46444942132493,-20,50,0,0
0.052秒,-10.7423997925838,-4.26736778769418,-100,412.293975207933,-3.33037576051349,-20,50,0,0
0.053秒,-10.7426859751732,-4.39841814052504,-100,468.62328302615,-2.25742403206152,-18.6826344046687,50,0,0
0.054秒,-10.7429878209724,-4.47792396658592,-100,500,-1.17876810369352,-9.81880791708592,50,0,0
0.055秒,-10.7433053791824,-4.63158117521957,-100,500,-0.0971390477554774,-1.33946021580146,50,0,0
0.056秒,-10.7436386975113,-4.7490918861901,-100,500,0.827520474833077,6.84615114902736,50,0,0
0.057秒,-10.7439878221717,-4.87798714357562,-100,500,1.80370639141123,14.6412289662786,50,0,0
0.058秒,-10.7443527978785,-4.98421080499877,-100,500,2.67250930596058,20,50,0,0
0.059秒,-10.7447336678469,-5.11526718397077,-100,500,3.53236608548094,20,50,0,0
0.06秒,-10.7451304737896,-5.1940452960537,-100,500,4.32682039245118,20,50,0,0
0.061秒,-10.7455432559153,-5.27749967782701,-100,500,5.15725234570395,20,50,0,0
0.062秒,-10.745972052926,-5.43600552165713,-100,500,5.93865021400626,20,50,0,0
0.063秒,-10.7464169020157,-5.49109561384262,-100,500,6.61717971499175,20,50,0,0
0.064秒,-10.7468778388676,-5.66738135057934,-100,500,7.27854967317025,20,50,0,0
0.065秒,-10.747354897653,-5.72704120779536,-100,500,7.95802678486107,20,50,0,0
0.066秒,-10.7478481110292,-5.86674951137432,-100,500,8.58106253955065,20,50,0,0
0.067秒,-10.7483575101376,-5.94881645524451,-100,500,9.13799722414564,20,50,0,0
0.068秒,-10.7488831246021,-6.06987690377505,-100,500,9.72583937886551,20,50,0,0
0.069秒,-10.7494249825277,-6.16652822907043,-100,500,10,20,50,0,0
0.07秒,-10.7499831104987,-6.2762674174601,-100,500,10,20,50,0,0
0.071秒,-10.7505575335775,-6.3688063526186,-100,500,10,20,50,0,0
0.072秒,-10.7511482753028,-6.44280280418318,-100,500,10,20,50,0,0
0.073秒,-10.7517553576886,-6.57598055334157,-99.5238007468869,500,10,20,50,0,0
0.074秒,-10.7523788012227,-6.67716239708273,-98.4157008481908,500,10,20,50,0,0
0.075秒,-10.7530186248658,-6.77472046685873,-97.2128169749313,500,10,20,50,0,0
0.076秒,-10.7536748460499,-6.85752984541124,-95.9770197284014,500,10,20,50,0,0
0.077秒,-10.7543474806777,-6.93492845240677,-94.831309562816,500,10,20,50,0,0
0.078秒,-10.7550365431212,-7.06468860411166,-93.4881171507135,500,10,20,50,0,0
0.079秒,-10.7557420462211,-7.14680446787832,-92.2581337257765,500,10,20,50,0,0
0.08秒,-10.7564640012856,-7.2810213086667,-91.0681713617708,500,10,20,50,0,0
0.081秒,-10.7572024180899,-7.35623681494078,-89.7893297763374,500,10,20,50,0,0
0.082秒,-10.7579573048753,-7.40645996856606,-88.4503957343505,500,10,20,50,0,0
0.083秒,-10.7587286683485,-7.51278548877581,-87.2506207214099,500,10,20,50,0,0
0.084秒,-10.759516513681,-7.59121648454856,-85.9193037649462,500,10,20,50,0,0
0.085秒,-10.7603208445088,-7.7047510251649,-84.6692720098241,500,10,20,50,0,0
0.086秒,-10.7611416629316,-7.74653528487948,-83.4105493780973,500,10,20,50,0,0
0.087秒,-10.7619789695126,-7.8253503093798,-82.1186350866946,500,10,20,50,0,0
0.088秒,-10.7628327632782,-7.93501272653992,-80.8627555048127,500,10,20,50,0,0
0.089秒,-10.7637030417176,-7.9793579412972,-79.4844715320615,500,10,20,50,0,0
0.09秒,-10.7645898007826,-8.05171835752414,-78.2618484224662,500,10,20,50,0,0
0.091秒,-10.7654930348877,-8.18285807539617,-76.897933836255,500,10,20,50,0,0
0.092秒,-10.7664127369096,-8.2544956883528,-75.5862096475613,500,10,20,50,0,0
0.093秒,-10.7673488981879,-8.30732256709078,-74.3568544333412,500,10,20,50,0,0
0.094秒,-10.7683015085243,-8.39390293012552,-73.0087418502263,500,10,20,50,0,0
0.095秒,-10.7692705561836,-8.42037152491452,-71.8104922256595,500,10,20,50,0,0
0.096秒,-10.7702560278932,-8.54841560860009,-70.4568497230389,500,10,20,50,0,0
0.097秒,-10.7712579088439,-8.62419807588793,-69.216809712934,500,10,20,50,0,0
0.098秒,-10.7722761826899,-8.66144252202596,-67.9650392407714,500,10,20,50,0,0
0.099秒,-10.7733108315495,-8.73824716205914,-66.7409310827329,500,10,20,50,0,0
0.1秒,-10.7743618360054,-8.77336706102732,-65.4646118528453,500,10,20,50,0,0
0.101秒,-10.775429175105,-8.86339002341448,-64.0469019909416,500,10,20,50,0,0
0.102秒,-10.7765128263616,-8.96162156250012,-62.8893959575407,500,10,20,50,0,0
0.103秒,-10.7776127657548,-8.97607171997311,-61.7033796087033,500,10,20,50,0,0
0.104秒,-10.778728967731,-9.04958889758263,-60.3597152314891,500,10,20,50,0,0
